_id,classify,tweetId,timeTweet,tweetUrl,text_cleaned,text_origin
ObjectId("5e5072c7160e825aac3e2c00"),angry,1231009683651153920,Sat Feb 22 00:15:54 +0000 2020,https://twitter.com/johnfolly35/statuses/1231009683651153920,hateful tweet attention beautiful/humorous tweet tweet hate rubs wrong way feel need tweet bk..do want “ response likes boost profile bother help us rather face_with_symbols_on_mouth,Why is it that a hateful tweet can more attention than a beautiful/humorous tweet? Tweet hate and if it rubs you up the wrong way then you feel the need to tweet bk..don’t! They want “response’s or likes to boost their profile !. Don’t bother and help us rather than them!🤬
ObjectId("5e5072c7160e825aac3e2c01"),angry,1231009677519020033,Sat Feb 22 00:15:52 +0000 2020,https://twitter.com/lmbueno4/statuses/1231009677519020033,eva chick slut fucken married whore angry_face angry_face angry_face angry_face station19,This Eva chick is a slut. You're fucken married  you whore! 😠😠😠😠 #station19 https://t.co/yExG7foIYD
ObjectId("5e5072c7160e825aac3e2c02"),angry,1231009675241455616,Sat Feb 22 00:15:52 +0000 2020,https://twitter.com/KamilaTheNoob/statuses/1231009675241455616,u get tell im gon na get angry minute,@sirpokechu3 @Gracex562 @PlayAdoptMe HOW ARE YOU IN THERE HOW DO U GET THERE TELL ME IM GONNA GET ANGRY IN A MINUTE
ObjectId("5e5072c7160e825aac3e2c03"),angry,1231009672553009152,Sat Feb 22 00:15:51 +0000 2020,https://twitter.com/aidnx/statuses/1231009672553009152,yep suing renegade raider locker tmr face_with_steam_from_nose face_with_steam_from_nose,@yungmoobert @enflicttgives @Carrp_ yep  i’m suing if renegade raider isn’t in my locker by tmr 😤😤
ObjectId("5e5072c7160e825aac3e2c04"),angry,1231009671361835014,Sat Feb 22 00:15:51 +0000 2020,https://twitter.com/nolanwehby/statuses/1231009671361835014,better otherwise us patriots gon na create “ man made climate change ” pouting_face,@patriot14575 @gevh59 It better be or  otherwise  us patriots are gonna create some “man made climate change” 😡
ObjectId("5e5072c7160e825aac3e2c05"),angry,1231009658028122112,Sat Feb 22 00:15:48 +0000 2020,https://twitter.com/taky4/statuses/1231009658028122112,face making constant messes never clean face_with_steam_from_nose lucky cute,@DSilzaWrites The face of making constant messes that he never has to clean up 😤 he’s lucky he’s cute
ObjectId("5e5072c7160e825aac3e2c06"),angry,1231009648100171776,Sat Feb 22 00:15:45 +0000 2020,https://twitter.com/TraceyAnnCraft/statuses/1231009648100171776,month ago said nothing ... tells everything need know angry_face,A MONTH ago and he said nothing...this tells me everything I need to know. 😠 https://t.co/NG2u8xXTRW
ObjectId("5e5072c7160e825aac3e2c07"),angry,1231009644996440065,Sat Feb 22 00:15:45 +0000 2020,https://twitter.com/comfycatboy/statuses/1231009644996440065,angry anyone cringy seeing people come online cry muh sodomy anyone really cares,@SauceElf @HokutoNoRape I’m not angry at anyone it’s just cringy seeing people come online to cry about muh sodomy as if anyone really cares
ObjectId("5e5072c7160e825aac3e2c08"),angry,1231009641930379265,Sat Feb 22 00:15:44 +0000 2020,https://twitter.com/Damon07999898/statuses/1231009641930379265,god angry people cowards refuse obey holy new covenant commandments israel rose rebuilt temple would able stand enemies invasion come till later,@TempleInstitute God is very angry because people are cowards and refuse to obey his holy new covenant commandments. If Israel rose up now and rebuilt the temple  they would be able to stand against their enemies. The invasion doesn't come till later.
ObjectId("5e5072c7160e825aac3e2c09"),angry,1231009639623471107,Sat Feb 22 00:15:43 +0000 2020,https://twitter.com/ChoudhuryAdam/statuses/1231009639623471107,lord knows much pulled old days get hustle day mandem face_with_steam_from_nose face_with_symbols_on_mouth money_with_wings money-mouth_face,Lord knows how much i pulled in the old days to get where i am hustle all day mandem !!!😤🤬💸🤑 https://t.co/nwFvaZImyH
ObjectId("5e5072c7160e825aac3e2c0a"),angry,1231009636679081984,Sat Feb 22 00:15:43 +0000 2020,https://twitter.com/Reyamxx/statuses/1231009636679081984,today definition grim scholars study today label every condition happened influence caused phenomenon known grimology weary_face face_with_steam_from_nose pensive_face,Today was the definition of GRIM. Scholars will study today and label every condition that happened as an influence that caused the phenomenon known as Grimology 😩😤😔
ObjectId("5e5072c7160e825aac3e2c0b"),angry,1231009626071687168,Sat Feb 22 00:15:40 +0000 2020,https://twitter.com/kuliroberts/statuses/1231009626071687168,face_with_steam_from_nose face_vomiting face_vomiting thinks saved invaders drowning norwegians,@MyBeastovio @Mbangxa 😤🤮🤮Who does he thinks saved those invaders from drowning? Norwegians?
ObjectId("5e5072c7160e825aac3e2c0c"),angry,1231009620920954882,Sat Feb 22 00:15:39 +0000 2020,https://twitter.com/WallgrenR/statuses/1231009620920954882,pouting_face like said got issues stoned/frozen legit death end story going,@SamRoseMod @MisAnthroPony @SkavenSlayerR 😡 Like I said  you got issues! Being stoned/frozen is not legit death! End of story! I am not going through this again!
ObjectId("5e5072c7160e825aac3e2c0d"),angry,1231009619352399875,Sat Feb 22 00:15:38 +0000 2020,https://twitter.com/ContrabandEater/statuses/1231009619352399875,helped articulate british politics makes angry pretentiousness poshnes compare trump flying daytona 500 boris pretending know ancient greek also terfs,@deportablediz This helped me articulate what it is about British politics that makes me so angry. Its the pretentiousness and poshness. Compare Trump flying over Daytona 500 to Boris pretending to know ancient Greek.  Also TERFs
